fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
37119,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,21.0,536.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,22.0,0.0,53.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
72141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12011,0.0,94.0,0.0,0.0,90.0,8.0,0.0,70.0,0.0,1107.0,26.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,6.0,0.0,126.0,61.0,0.0,330.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
29047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06059,41.0,0.0,0.0,12.0,29.0,155.0,0.0,25.0,9.0,5091.0,39.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,80.0,0.0,62.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0
35001,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,11.0,591.0,0.0,30.0,0.0,0.0,0.0,8.0,0.0,41.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
25005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,22.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0
35005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0
40017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26139,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
