county,team,pop
30107,ALG,0
30107,ARG,0
30107,AUS,0
30107,AUT,0
30107,BEL,0
30107,BIH,0
30107,BRA,0
30107,CAN,3
30107,CIV,0
30107,COD,0
30107,COL,0
30107,CPV,0
30107,CRO,0
30107,CUW,0
30107,CZE,0
30107,ECU,0
30107,EGY,0
30107,ENG,0
30107,ESP,0
30107,FRA,0
30107,GER,0
30107,GHA,0
30107,HAI,0
30107,IRN,0
30107,IRQ,0
30107,JOR,0
30107,JPN,0
30107,KOR,0
30107,KSA,0
30107,MAR,0
30107,MEX,0
30107,NED,0
30107,NOR,0
30107,NZL,0
30107,PAN,0
30107,PAR,0
30107,POR,0
30107,QAT,0
30107,RSA,0
30107,SCO,0
30107,SEN,0
30107,SUI,0
30107,SWE,0
30107,TUN,0
30107,TUR,0
30107,URU,0
30107,UZB,0
29189,ALG,129
29189,ARG,183
29189,AUS,342
29189,AUT,151
29189,BEL,98
29189,BIH,6870
29189,BRA,744
29189,CAN,1425
29189,CIV,0
29189,COD,674
29189,COL,954
29189,CPV,113
29189,CRO,435
29189,CUW,119
29189,CZE,196
29189,ECU,85
29189,EGY,213
29189,ENG,935
29189,ESP,190
29189,FRA,253
29189,GER,1641
29189,GHA,490
29189,HAI,270
29189,IRN,404
29189,IRQ,622
29189,JOR,470
29189,JPN,589
29189,KOR,2257
29189,KSA,220
29189,MAR,120
29189,MEX,6468
29189,NED,44
29189,NOR,34
29189,NZL,9
29189,PAN,100
29189,PAR,0
29189,POR,0
29189,QAT,5
29189,RSA,303
29189,SCO,100
29189,SEN,155
29189,SUI,98
29189,SWE,19
29189,TUN,45
29189,TUR,630
29189,URU,30
29189,UZB,82
38021,ALG,0
38021,ARG,0
38021,AUS,0
38021,AUT,0
38021,BEL,0
38021,BIH,2
38021,BRA,0
38021,CAN,25
38021,CIV,0
38021,COD,0
38021,COL,0
38021,CPV,0
38021,CRO,0
38021,CUW,0
38021,CZE,0
38021,ECU,0
38021,EGY,0
38021,ENG,0
38021,ESP,0
38021,FRA,0
38021,GER,13
38021,GHA,0
38021,HAI,0
38021,IRN,0
38021,IRQ,0
38021,JOR,0
38021,JPN,0
38021,KOR,0
38021,KSA,0
38021,MAR,0
38021,MEX,8
38021,NED,0
38021,NOR,0
38021,NZL,0
38021,PAN,0
38021,PAR,0
38021,POR,0
38021,QAT,0
38021,RSA,14
38021,SCO,0
38021,SEN,0
38021,SUI,0
38021,SWE,0
38021,TUN,0
38021,TUR,0
38021,URU,0
38021,UZB,0
18063,ALG,0
18063,ARG,80
18063,AUS,17
18063,AUT,0
18063,BEL,0
18063,BIH,9
18063,BRA,136
18063,CAN,178
18063,CIV,18
18063,COD,41
18063,COL,97
18063,CPV,228
18063,CRO,8
18063,CUW,0
18063,CZE,0
18063,ECU,38
18063,EGY,0
18063,ENG,113
18063,ESP,262
18063,FRA,269
18063,GER,128
18063,GHA,99
18063,HAI,164
18063,IRN,0
18063,IRQ,0
18063,JOR,235
18063,JPN,17
18063,KOR,162
18063,KSA,0
18063,MAR,0
18063,MEX,862
18063,NED,21
18063,NOR,0
18063,NZL,0
18063,PAN,0
18063,PAR,259
18063,POR,8
18063,QAT,11
18063,RSA,124
18063,SCO,0
18063,SEN,43
18063,SUI,0
18063,SWE,0
18063,TUN,0
18063,TUR,12
18063,URU,0
18063,UZB,0
39173,ALG,0
39173,ARG,27
39173,AUS,78
39173,AUT,0
39173,BEL,0
39173,BIH,0
39173,BRA,21
39173,CAN,341
39173,CIV,0
39173,COD,8
39173,COL,172
39173,CPV,0
39173,CRO,9
39173,CUW,0
39173,CZE,0
39173,ECU,0
39173,EGY,73
39173,ENG,9
39173,ESP,0
39173,FRA,7
39173,GER,250
39173,GHA,14
39173,HAI,26
39173,IRN,86
39173,IRQ,45
39173,JOR,9
39173,JPN,17
39173,KOR,61
39173,KSA,54
39173,MAR,0
39173,MEX,800
39173,NED,23
39173,NOR,0
39173,NZL,0
39173,PAN,0
39173,PAR,0
39173,POR,0
39173,QAT,0
39173,RSA,0
39173,SCO,8
39173,SEN,0
39173,SUI,0
39173,SWE,5
39173,TUN,0
39173,TUR,126
39173,URU,0
39173,UZB,0
35035,ALG,0
35035,ARG,0
35035,AUS,27
35035,AUT,0
35035,BEL,0
35035,BIH,0
35035,BRA,17
35035,CAN,126
35035,CIV,0
35035,COD,0
35035,COL,78
35035,CPV,0
35035,CRO,0
35035,CUW,13
35035,CZE,0
35035,ECU,8
35035,EGY,0
35035,ENG,219
35035,ESP,0
35035,FRA,19
35035,GER,324
35035,GHA,31
35035,HAI,0
35035,IRN,0
35035,IRQ,8
35035,JOR,0
35035,JPN,54
35035,KOR,57
35035,KSA,51
35035,MAR,0
35035,MEX,4576
35035,NED,0
35035,NOR,0
35035,NZL,0
35035,PAN,0
35035,PAR,0
35035,POR,0
35035,QAT,0
35035,RSA,0
35035,SCO,11
35035,SEN,2
35035,SUI,0
35035,SWE,0
35035,TUN,0
35035,TUR,49
35035,URU,0
35035,UZB,24
48475,ALG,0
48475,ARG,0
48475,AUS,0
48475,AUT,0
48475,BEL,0
48475,BIH,0
48475,BRA,17
48475,CAN,7
48475,CIV,0
48475,COD,0
48475,COL,0
48475,CPV,0
48475,CRO,0
48475,CUW,0
48475,CZE,0
48475,ECU,0
48475,EGY,0
48475,ENG,0
48475,ESP,0
48475,FRA,0
48475,GER,0
48475,GHA,0
48475,HAI,0
48475,IRN,0
48475,IRQ,0
48475,JOR,0
48475,JPN,0
48475,KOR,0
48475,KSA,0
48475,MAR,0
48475,MEX,977
48475,NED,0
48475,NOR,0
48475,NZL,0
48475,PAN,0
48475,PAR,0
48475,POR,0
48475,QAT,0
48475,RSA,0
48475,SCO,0
48475,SEN,0
48475,SUI,0
48475,SWE,0
48475,TUN,0
48475,TUR,0
48475,URU,0
48475,UZB,0
36049,ALG,0
36049,ARG,3
36049,AUS,6
36049,AUT,0
36049,BEL,0
36049,BIH,4
36049,BRA,0
36049,CAN,23
36049,CIV,0
36049,COD,0
36049,COL,6
36049,CPV,0
36049,CRO,0
36049,CUW,0
36049,CZE,0
36049,ECU,4
36049,EGY,0
36049,ENG,2
36049,ESP,0
36049,FRA,10
36049,GER,64
36049,GHA,0
36049,HAI,0
36049,IRN,0
36049,IRQ,0
36049,JOR,0
36049,JPN,2
36049,KOR,8
36049,KSA,0
36049,MAR,0
36049,MEX,19
36049,NED,0
36049,NOR,0
36049,NZL,0
36049,PAN,0
36049,PAR,0
36049,POR,0
36049,QAT,0
36049,RSA,0
36049,SCO,0
36049,SEN,0
36049,SUI,0
36049,SWE,0
36049,TUN,0
36049,TUR,0
36049,URU,0
36049,UZB,0
08117,ALG,0
08117,ARG,33
08117,AUS,96
08117,AUT,26
08117,BEL,0
08117,BIH,0
08117,BRA,110
08117,CAN,156
08117,CIV,0
08117,COD,0
08117,COL,89
08117,CPV,0
08117,CRO,0
08117,CUW,0
08117,CZE,39
08117,ECU,0
08117,EGY,0
08117,ENG,0
08117,ESP,16
08117,FRA,0
08117,GER,20
08117,GHA,0
08117,HAI,0
08117,IRN,11
08117,IRQ,0
08117,JOR,0
08117,JPN,53
08117,KOR,7
08117,KSA,0
08117,MAR,0
08117,MEX,1057
