fips,ALG,ARG,AUS,AUT,BEL,BIH,BRA,CAN,CIV,COD,COL,CPV,CRO,CUW,CZE,ECU,EGY,ENG,ESP,FRA,GER,GHA,HAI,IRN,IRQ,JOR,JPN,KOR,KSA,MAR,MEX,NED,NOR,NZL,PAN,PAR,POR,QAT,RSA,SCO,SEN,SUI,SWE,TUN,TUR,URU,UZB
30107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29189,129.0,183.0,342.0,151.0,98.0,6870.0,744.0,1425.0,0.0,674.0,954.0,113.0,435.0,119.0,196.0,85.0,213.0,935.0,190.0,253.0,1641.0,490.0,270.0,404.0,622.0,470.0,589.0,2257.0,220.0,120.0,6468.0,44.0,34.0,9.0,100.0,0.0,0.0,5.0,303.0,100.0,155.0,98.0,19.0,45.0,630.0,30.0,82.0
38021,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18063,0.0,80.0,17.0,0.0,0.0,9.0,136.0,178.0,18.0,41.0,97.0,228.0,8.0,0.0,0.0,38.0,0.0,113.0,262.0,269.0,128.0,99.0,164.0,0.0,0.0,235.0,17.0,162.0,0.0,0.0,862.0,21.0,0.0,0.0,0.0,259.0,8.0,11.0,124.0,0.0,43.0,0.0,0.0,0.0,12.0,0.0,0.0
39173,0.0,27.0,78.0,0.0,0.0,0.0,21.0,341.0,0.0,8.0,172.0,0.0,9.0,0.0,0.0,0.0,73.0,9.0,0.0,7.0,250.0,14.0,26.0,86.0,45.0,9.0,17.0,61.0,54.0,0.0,800.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,126.0,0.0,0.0
35035,0.0,0.0,27.0,0.0,0.0,0.0,17.0,126.0,0.0,0.0,78.0,0.0,0.0,13.0,0.0,8.0,0.0,219.0,0.0,19.0,324.0,31.0,0.0,0.0,8.0,0.0,54.0,57.0,51.0,0.0,4576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,49.0,0.0,24.0
48475,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36049,0.0,3.0,6.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,10.0,64.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08117,0.0,33.0,96.0,26.0,0.0,0.0,110.0,156.0,0.0,0.0,89.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,16.0,0.0,20.0,0.0,0.0,11.0,0.0,0.0,53.0,7.0,0.0,0.0,1057.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
40003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
