county,team,pop
40107,ARG,0
40107,AUS,0
40107,BRA,0
40107,CAN,45
40107,CHN,28
40107,COL,0
40107,CRC,0
40107,DEN,0
40107,ENG,0
40107,FRA,0
40107,GER,0
40107,HTI,0
40107,ITA,0
40107,JAM,0
40107,JPN,0
40107,KOR,0
40107,MAR,0
40107,NED,0
40107,NZL,0
40107,NGA,5
40107,NOW,0
40107,PAN,0
40107,PHL,0
40107,POR,0
40107,IRL,0
40107,ZAF,0
40107,ESP,0
40107,SWE,0
40107,SUI,0
40107,VNM,0
40107,ZMB,40
35033,ARG,0
35033,AUS,0
35033,BRA,0
35033,CAN,0
35033,CHN,0
35033,COL,0
35033,CRC,0
35033,DEN,0
35033,ENG,0
35033,FRA,0
35033,GER,0
35033,HTI,0
35033,ITA,0
35033,JAM,0
35033,JPN,0
35033,KOR,0
35033,MAR,0
35033,NED,0
35033,NZL,0
35033,NGA,0
35033,NOW,0
35033,PAN,0
35033,PHL,0
35033,POR,0
35033,IRL,0
35033,ZAF,0
35033,ESP,0
35033,SWE,0
35033,SUI,0
35033,VNM,0
35033,ZMB,26
13311,ARG,0
13311,AUS,0
13311,BRA,0
13311,CAN,18
13311,CHN,3
13311,COL,35
13311,CRC,0
13311,DEN,0
13311,ENG,59
13311,FRA,0
13311,GER,40
13311,HTI,0
13311,ITA,40
13311,JAM,0
13311,JPN,0
13311,KOR,2
13311,MAR,0
13311,NED,8
13311,NZL,0
13311,NGA,0
13311,NOW,0
13311,PAN,0
13311,PHL,32
13311,POR,0
13311,IRL,0
13311,ZAF,0
13311,ESP,0
13311,SWE,13
13311,SUI,0
13311,VNM,47
13311,ZMB,126
37087,ARG,0
37087,AUS,0
37087,BRA,14
37087,CAN,37
37087,CHN,11
37087,COL,57
37087,CRC,0
37087,DEN,0
37087,ENG,93
37087,FRA,62
37087,GER,86
37087,HTI,3
37087,ITA,29
37087,JAM,0
37087,JPN,0
37087,KOR,0
37087,MAR,0
37087,NED,0
37087,NZL,0
37087,NGA,0
37087,NOW,0
37087,PAN,0
37087,PHL,127
37087,POR,0
37087,IRL,0
37087,ZAF,9
37087,ESP,40
37087,SWE,9
37087,SUI,0
37087,VNM,38
37087,ZMB,304
27049,ARG,0
27049,AUS,7
27049,BRA,2
27049,CAN,42
27049,CHN,8
27049,COL,0
27049,CRC,0
27049,DEN,0
27049,ENG,7
27049,FRA,0
27049,GER,42
27049,HTI,0
27049,ITA,0
27049,JAM,30
27049,JPN,37
27049,KOR,75
27049,MAR,0
27049,NED,0
27049,NZL,1
27049,NGA,0
27049,NOW,1
27049,PAN,0
27049,PHL,11
27049,POR,0
27049,IRL,0
27049,ZAF,66
27049,ESP,2
27049,SWE,1
27049,SUI,3
27049,VNM,15
27049,ZMB,107
47147,ARG,26
47147,AUS,0
47147,BRA,13
47147,CAN,144
47147,CHN,73
47147,COL,37
47147,CRC,64
47147,DEN,0
47147,ENG,0
47147,FRA,0
47147,GER,50
47147,HTI,0
47147,ITA,4
47147,JAM,12
47147,JPN,23
47147,KOR,80
47147,MAR,0
47147,NED,0
47147,NZL,0
47147,NGA,52
47147,NOW,0
47147,PAN,0
47147,PHL,40
47147,POR,0
47147,IRL,0
47147,ZAF,4
47147,ESP,0
47147,SWE,0
47147,SUI,0
47147,VNM,0
47147,ZMB,240
40153,ARG,0
40153,AUS,0
40153,BRA,0
40153,CAN,0
40153,CHN,70
40153,COL,0
40153,CRC,0
40153,DEN,0
40153,ENG,7
40153,FRA,0
40153,GER,2
40153,HTI,0
40153,ITA,0
40153,JAM,0
40153,JPN,0
40153,KOR,0
40153,MAR,0
40153,NED,11
40153,NZL,0
40153,NGA,0
40153,NOW,0
40153,PAN,0
40153,PHL,9
40153,POR,0
40153,IRL,0
40153,ZAF,0
40153,ESP,0
40153,SWE,0
40153,SUI,0
40153,VNM,0
40153,ZMB,58
36121,ARG,6
36121,AUS,0
36121,BRA,8
36121,CAN,41
36121,CHN,62
36121,COL,15
36121,CRC,4
36121,DEN,0
36121,ENG,35
36121,FRA,0
36121,GER,59
36121,HTI,0
36121,ITA,10
36121,JAM,1
36121,JPN,0
36121,KOR,0
36121,MAR,4
36121,NED,4
36121,NZL,0
36121,NGA,0
36121,NOW,0
36121,PAN,0
36121,PHL,76
36121,POR,0
36121,IRL,7
36121,ZAF,1
36121,ESP,0
36121,SWE,0
36121,SUI,0
36121,VNM,0
36121,ZMB,168
41037,ARG,0
41037,AUS,0
41037,BRA,0
41037,CAN,13
41037,CHN,8
41037,COL,0
41037,CRC,0
41037,DEN,13
41037,ENG,0
41037,FRA,12
41037,GER,0
41037,HTI,0
41037,ITA,0
41037,JAM,0
41037,JPN,0
41037,KOR,0
41037,MAR,0
41037,NED,0
41037,NZL,0
41037,NGA,0
41037,NOW,0
41037,PAN,0
41037,PHL,0
41037,POR,0
41037,IRL,13
41037,ZAF,0
41037,ESP,0
41037,SWE,0
41037,SUI,0
41037,VNM,10
41037,ZMB,32
16049,ARG,0
16049,AUS,0
16049,BRA,50
16049,CAN,13
16049,CHN,10
16049,COL,0
16049,CRC,0
16049,DEN,0
16049,ENG,6
16049,FRA,0
16049,GER,32
16049,HTI,0
16049,ITA,0
16049,JAM,0
16049,JPN,0
16049,KOR,13
16049,MAR,0
16049,NED,0
16049,NZL,0
16049,NGA,0
16049,NOW,0
16049,PAN,0
16049,PHL,23
16049,POR,0
16049,IRL,0
16049,ZAF,3
16049,ESP,0
16049,SWE,0
16049,SUI,0
16049,VNM,0
16049,ZMB,78
37187,ARG,0
37187,AUS,0
37187,BRA,0
37187,CAN,0
37187,CHN,0
37187,COL,0
37187,CRC,0
37187,DEN,0
37187,ENG,0
37187,FRA,0
37187,GER,0
37187,HTI,0
37187,ITA,0
37187,JAM,0
37187,JPN,0
37187,KOR,0
37187,MAR,0
37187,NED,0
37187,NZL,0
37187,NGA,0
37187,NOW,0
37187,PAN,0
37187,PHL,0
37187,POR,0
37187,IRL,0
37187,ZAF,0
37187,ESP,0
37187,SWE,0
37187,SUI,0
37187,VNM,0
37187,ZMB,56
47073,ARG,0
47073,AUS,0
47073,BRA,0
47073,CAN,67
47073,CHN,0
47073,COL,0
47073,CRC,0
47073,DEN,0
47073,ENG,13
47073,FRA,0
47073,GER,10
47073,HTI,0
47073,ITA,0
47073,JAM,0
47073,JPN,18
47073,KOR,16
47073,MAR,0
47073,NED,0
47073,NZL,0
47073,NGA,0
47073,NOW,0
47073,PAN,0
47073,PHL,10
47073,POR,0
47073,IRL,0
47073,ZAF,0
47073,ESP,0
47073,SWE,0
47073,SUI,0
47073,VNM,0
47073,ZMB,192
02066,ARG,0
02066,AUS,3
02066,BRA,0
02066,CAN,0
02066,CHN,0
02066,COL,0
02066,CRC,0
02066,DEN,0
02066,ENG,0
02066,FRA,15
02066,GER,0
02066,HTI,0
02066,ITA,0
02066,JAM,0
02066,JPN,0
02066,KOR,11
02066,MAR,0
02066,NED,0
02066,NZL,0
02066,NGA,0
02066,NOW,0
02066,PAN,0
02066,PHL,1
02066,POR,0
02066,IRL,0
02066,ZAF,0
02066,ESP,0
02066,SWE,0
02066,SUI,0
02066,VNM,0
02066,ZMB,10
32015,ARG,0
32015,AUS,0
32015,BRA,0
32015,CAN,0
32015,CHN,0
32015,COL,0
32015,CRC,0
32015,DEN,0
32015,ENG,0
32015,FRA,8
32015,GER,0
32015,HTI,0
32015,ITA,0
32015,JAM,0
32015,JPN,0
32015,KOR,0
32015,MAR,0
32015,NED,0
32015,NZL,0
32015,NGA,0
32015,NOW,0
32015,PAN,0
32015,PHL,23
32015,POR,0
32015,IRL,0
32015,ZAF,10
32015,ESP,0
32015,SWE,0
32015,SUI,0
32015,VNM,0
32015,ZMB,28
49027,ARG,10
49027,AUS,0
49027,BRA,4
49027,CAN,3
49027,CHN,73
49027,COL,0
