fips,ARG,AUS,BRA,CAN,CHN,COL,CRC,DEN,ENG,FRA,GER,HAI,ITA,JAM,JPN,KOR,MAR,NED,NZL,NGA,NOW,PAN,PHL,POR,IRL,RSA,ESP,SWE,SUI,VIE,ZAM
20027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
29127,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
18025,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
30041,40.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,66.0
02068,0.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0
05113,0.0,0.0,0.0,72.0,0.0,33.0,0.0,0.0,8.0,14.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,91.0
26113,2.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
25009,164.0,339.0,7559.0,3322.0,4249.0,1946.0,346.0,107.0,902.0,322.0,1086.0,4030.0,2048.0,785.0,429.0,1263.0,1280.0,107.0,58.0,1173.0,57.0,136.0,1082.0,2610.0,950.0,86.0,394.0,159.0,76.0,2021.0,2751.0
39031,0.0,0.0,0.0,28.0,64.0,0.0,0.0,0.0,4.0,0.0,53.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
48493,0.0,84.0,0.0,17.0,10.0,0.0,19.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,204.0
30045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
21153,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
18013,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,65.0
53051,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
51750,0.0,0.0,43.0,0.0,124.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,48.0
42031,0.0,0.0,0.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,21.0,0.0,0.0,58.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,143.0
53039,20.0,9.0,0.0,74.0,12.0,26.0,0.0,13.0,16.0,9.0,84.0,84.0,9.0,0.0,33.0,0.0,8.0,63.0,0.0,0.0,48.0,0.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,83.0
45067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,12.0,17.0,15.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,122.0
48503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
48263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
51685,0.0,0.0,53.0,0.0,13.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,74.0,37.0,0.0,0.0,59.0,0.0,28.0,73.0,114.0,0.0,0.0,0.0,0.0,0.0,575.0,51.0
42075,26.0,16.0,51.0,74.0,266.0,131.0,11.0,8.0,51.0,90.0,88.0,150.0,148.0,61.0,5.0,165.0,89.0,25.0,0.0,235.0,0.0,122.0,165.0,0.0,8.0,0.0,0.0,0.0,0.0,135.0,413.0
29215,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,96.0
29061,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0
13047,0.0,28.0,0.0,25.0,74.0,9.0,0.0,0.0,54.0,14.0,66.0,0.0,0.0,32.0,0.0,134.0,0.0,0.0,11.0,0.0,0.0,0.0,52.0,0.0,0.0,62.0,0.0,0.0,0.0,43.0,252.0
13131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
13177,17.0,10.0,0.0,16.0,10.0,7.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,79.0,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,124.0
38097,0.0,15.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
41055,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,13.0
72121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36011,0.0,3.0,26.0,53.0,80.0,29.0,0.0,0.0,42.0,63.0,160.0,26.0,134.0,22.0,104.0,1.0,0.0,5.0,5.0,0.0,45.0,6.0,78.0,0.0,0.0,16.0,9.0,0.0,3.0,0.0,331.0
46053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
21039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
