FIFA-alpha3,Fixtures-Country-Name,Country,Census-Column-Name
ALG,Algeria,Algeria,B05006_111E
ARG,Argentina,Argentina,B05006_165E
AUS,Australia,Australia,B05006_132E
AUT,Austria,Austria,B05006_014E
BEL,Belgium,Belgium,B05006_015E
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,B05006_031E
BRA,Brazil,Brazil,B05006_167E
CAN,Canada,Canada,B05006_177E
CIV,Côte d'Ivoire,Ivory Coast,B05006_122E
COD,Congo DR,Democratic Republic of the Congo,B05006_108E
COL,Colombia,Colombia,B05006_169E
CPV,Cabo Verde,Cape Verde,B05006_128E
CRO,Croatia,Croatia,B05006_033E
CUW,Curaçao,Curaçao,B05006_153E
CZE,Czechia,Czech Republic,B05006_034E
ECU,Ecuador,Ecuador,B05006_170E
EGY,Egypt,Egypt,B05006_112E
ENG,England,England,B05006_010E
ESP,Spain,Spain,B05006_026E
FRA,France,France,B05006_016E
GER,Germany,Germany,B05006_017E
GHA,Ghana,Ghana,B05006_121E
HAI,Haiti,Haiti,B05006_147E
IRN,Iran,Iran,B05006_061E
IRQ,Iraq,Iraq,B05006_083E
JOR,Jordan,Jordan,B05006_085E
JPN,Japan,Japan,B05006_053E
KOR,Korea Republic,South Korea,B05006_054E
KSA,Saudi Arabia,Saudi Arabia,B05006_088E
MAR,Morocco,Morocco,B05006_113E
MEX,Mexico,Mexico,B05006_160E
NED,Netherlands,Netherlands,B05006_018E
NOR,Norway,Norway,B05006_006E
NZL,New Zealand,New Zealand,B05006_133E
PAN,Panama,Panama,B05006_162E
PAR,Paraguay,Paraguay,B05006_163E
POR,Portugal,Portugal,B05006_024E
QAT,Qatar,Qatar,B05006_093E
RSA,South Africa,South Africa,B05006_117E
SCO,Scotland,Scotland,B05006_011E
SEN,Senegal,Senegal,B05006_125E
SUI,Switzerland,Switzerland,B05006_019E
SWE,Sweden,Sweden,B05006_007E
TUN,Tunisia,Tunisia,B05006_115E
TUR,Türkiye,Turkey,B05006_090E
URU,Uruguay,Uruguay,B05006_173E
UZB,Uzbekistan,Uzbekistan,B05006_066E
