tract,zipcode5
01003010100,
01003010300,
01003010707,
01003010710,
01003990000,
01007010011,
01015000700,
01015001502,
01015001600,
01015002600,
01015981901,
01015981902,
01015981903,
01021060500,
01025958003,
01029959600,
01031010300,
01045020000,
01047956202,
01097001200,
01097003800,
01097005702,
01097007204,
01097990000,
01113030905,
02013000100,
02016000100,
02016000200,
02020000101,
02020000102,
02020000500,
02020001200,
02020001300,
02020002301,
02020002711,
02020002713,
02020002714,
02020002823,
02020980200,
02050000100,
02050000200,
02050000300,
02060000100,
02063000200,
02063000300,
02066000100,
02068000100,
02070000100,
02090000900,
02090001000,
02090001402,
02090001600,
02090001700,
02090001901,
02090001902,
02090980000,
02090980100,
02100000100,
02105000400,
02110000100,
02110000500,
02110000600,
02122000100,
02122000200,
02122000300,
02122000400,
02122000600,
02122000701,
02122000702,
02122000800,
02122000900,
02122001000,
02122001100,
02122001200,
02122001300,
02130000102,
02150000100,
02150000300,
02150000400,
02150000500,
02158000100,
02164000100,
02170000101,
02170000102,
02170000200,
02170000402,
02170000502,
02170000601,
02170000604,
02170001100,
02170001300,
02180000100,
02180000200,
02185000100,
02185000200,
02185000300,
02188000100,
02188000200,
02195000200,
02198000100,
02198000200,
02198000300,
02198940100,
02220000100,
02240000100,
02240000400,
02275000300,
02282000100,
02290000100,
02290000200,
02290000300,
02290000400,
04001942600,
04001942700,
04001944301,
04001944901,
04001945002,
04001970300,
04001970502,
04003000101,
04003001401,
04003001402,
04003001900,
04005001500,
04005002000,
04005002201,
04005002301,
04005002302,
04005944900,
04005945100,
04005980100,
04007000302,
04007000700,
04007940200,
04007940400,
04009940500,
04009961100,
04009961500,
04009961600,
04009961700,
04012020101,
04012020102,
04012020501,
04012020602,
04012980000,
04013010102,
04013040515,
04013040516,
04013050603,
04013050620,
04013050621,
04013610001,
04013723304,
04013723305,
04013723306,
04013941200,
04013941300,
04013980100,
04015950101,
04017940008,
04017940011,
04017940012,
04017940013,
04017940100,
04017940302,
04017960200,
04017960500,
04017963300,
04017963400,
04017963800,
04017964202,
04017965302,
04019004425,
04019005200,
04019940800,
04019941100,
04021000201,
04021000217,
04021000400,
04021000802,
04021000804,
04021001600,
04021002106,
04021002107,
04021002200,
04021002300,
04021002400,
04021941200,
04021941300,
04021941402,
04025000207,
04025001201,
04025001300,
04025001403,
04025001501,
04025001602,
04025001902,
04025002100,
04027011202,
04027011407,
04027011801,
04027012100,
04027980003,
04027980004,
04027980005,
05003960100,
05013480200,
05043490100,
05045030303,
05047950302,
05051012001,
05061950100,
05071951800,
05077470100,
05083950100,
05083950200,
05093010801,
05097953000,
05097953100,
05103950102,
05105952800,
05105952900,
05107480100,
05109953300,
05109953400,
05109953500,
05113950500,
05113950600,
05119003713,
05119004302,
05125010517,
05127950300,
05131010102,
05131010201,
05133080100,
05149952600,
06001401700,
06001420302,
06001420402,
06001428200,
06001428301,
06001428302,
06001428400,
06001428500,
06001428600,
06001433400,
06001435900,
06001441503,
06001450701,
06001451104,
06001990000,
06003010000,
06005000102,
06007001601,
06007001704,
06007002401,
06007002402,
06009000302,
06009000400,
06009000504,
06011000302,
06011000400,
06013301000,
06013302006,
06013302011,
06013305000,
06013306002,
06013309000,
06013314102,
06013314103,
06013314200,
06013315000,
06013318000,
06013320001,
06013355107,
06013355112,
06013355119,
06013357000,
06013358000,
06013359102,
06013359103,
06013359105,
06013365002,
06013392201,
06013392202,
06013392300,
06013990000,
06015000101,
06015000102,
06015000106,
06015000107,
06015000201,
06015000202,
06015000203,
06015990000,
06017030603,
06017030604,
06017031301,
06017031406,
06017031409,
06017031900,
06017032001,
06017990000,
06019006408,
06019006409,
06019006411,
06019007801,
06019007802,
06019007903,
06019008200,
06019008304,
06019008402,
06021010300,
06023001200,
06023001300,
06023010102,
06023010200,
06023010300,
06023010400,
06023010504,
06023010600,
06023010702,
06023010800,
06023010902,
06023011100,
06023011200,
06023011502,
06023011600,
06023940000,
06023990100,
06025010102,
06025010200,
06025012302,
06025012400,
06027000100,
06027000200,
06027000300,
06027000500,
06027000800,
06029003303,
06029003304,
06029003307,
06029004500,
06029005103,
06029005203,
06029005206,
06029005207,
06029005208,
06029005300,
06029005406,
06029005508,
06029005509,
06029005510,
06029005514,
06029005600,
06029005700,
06029005900,
06029006004,
06029006009,
06029006011,
06029006012,
06029006202,
06029006500,
06029006600,
06031000200,
06031001200,
06031001601,
06031001702,
06031001703,
06031980000,
06033000100,
06033000300,
06033000401,
06033000402,
06033000501,
06033000502,
06033000602,
06033000702,
06033001000,
06035040100,
06035040200,
06035040302,
06035040305,
06035040500,
06035040600,
06037430003,
06037430301,
06037460101,
06037460301,
06037460401,
06037576602,
06037576700,
06037577200,
06037577300,
06037577504,
06037599100,
06037900102,
06037901209,
06037901300,
06037910814,
06037920050,
06037920102,
06037920104,
06037930400,
06037980003,
06037990100,
06037990200,
06037990300,
06039000102,
06039000103,
06039001100,
06041121200,
06041123000,
06041130204,
06041131100,
06041132100,
06041132200,
06041990100,
06043000102,
06043000200,
06043000302,
06043000400,
06045010100,
06045010200,
06045010300,
06045010400,
06045010500,
06045010601,
06045010602,
06045010900,
06045011001,
06045011003,
06045011004,
06045011102,
06045011200,
06045011300,
06045011800,
06045990100,
06047000901,
06047001901,
06047002002,
06047002100,
06049000200,
06049000300,
06049000400,
06051000101,
06051000102,
06051000201,
06051000202,
06053010101,
06053010306,
06053011303,
06053011305,
06053011400,
06053011502,
06053014301,
06053014601,
06053990000,
06055201005,
06055201102,
06057000701,
06057000801,
06057000900,
06059021826,
06059021923,
06059021924,
06059032041,
06059032043,
06059032044,
06059032046,
06059032064,
06059032066,
06059042115,
06059042116,
06059990100,
06061020200,
06061022013,
06061022014,
06061022300,
06061990000,
06063000100,
06063000201,
06063000202,
06063000300,
06063000400,
06063000501,
06063000502,
06065043812,
06065043813,
06065044403,
06065044404,
06065044517,
06065044524,
06065044807,
06065045610,
06065045612,
06065045618,
06065046401,
06065046900,
06065047202,
06065940500,
06065941500,
06067009800,
06069000100,
06069000802,
06071008901,
06071009134,
06071009202,
06071010024,
06071010034,
06071010300,
06071010402,
06071010413,
06071010424,
06071010425,
06071010436,
06071010700,
06071010805,
06071010903,
06071010905,
06071011101,
06071011102,
06071011300,
06071011404,
06071011500,
06071011602,
06071011700,
06071011801,
06071012101,
06071012103,
06071012106,
06071025000,
06071025100,
06071940100,
06073003800,
06073010103,
06073010601,
06073012502,
06073012600,
06073013103,
06073013320,
06073013425,
06073016812,
06073016902,
06073018700,
06073019108,
06073020902,
06073020903,
06073020904,
06073021001,
06073021002,
06073021101,
06073021102,
06073021202,
